vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
CMT,2010-01-27 22:01:57,2010-01-27 22:15:57,2,3.3,-73.98650499999998,40.760071,1,0,-73.953528,40.782023,Cas,11.3,0.5,0.5,0.0,0.0,12.3
CMT,2010-01-27 21:36:56,2010-01-27 21:44:55,1,1.5,-73.97839299999998,40.751657,1,0,-73.997546,40.744668,Cas,6.5,0.5,0.5,0.0,0.0,7.5
VTS,2010-01-17 15:08:00,2010-01-17 15:12:00,1,0.53,-74.006012,40.735463,1,,-74.004112,40.731152,CAS,4.1,0.0,0.5,0.0,0.0,4.6
DDS,2010-01-06 18:37:18,2010-01-06 18:48:16,1,1.3,0.0,0.0,1,,0.0,0.0,CAS,6.1,1.0,-1.0,0.0,0.0,7.599999999999999
DDS,2010-01-28 20:59:30,2010-01-28 21:13:10,1,1.9,-73.98135,40.763245,1,,-74.00797699999998,40.738002,CRE,8.5,0.5,0.5,1.5,0.0,11.0
DDS,2010-01-28 19:36:18,2010-01-28 19:47:57,1,2.0,-73.97174699999998,40.755565,1,,-73.991533,40.750237,CRE,7.7,1.0,0.5,2.3,0.0,11.5
DDS,2010-01-17 17:41:32,2010-01-17 17:47:41,1,0.5,-73.991938,40.721837,1,,-73.99250499999998,40.730077,CAS,4.1,0.0,0.5,0.0,0.0,4.6
VTS,2010-01-30 23:15:00,2010-01-30 23:26:00,1,1.83,0.0,0.0,1,,0.0,0.0,Cre,8.099999999999998,0.5,0.5,2.0,0.0,11.1
VTS,2010-01-30 21:46:00,2010-01-30 22:07:00,2,4.73,-73.990803,40.745372,1,,-73.95869299999998,40.713493,Cre,14.9,0.5,0.5,2.5,0.0,18.4
VTS,2010-01-19 14:40:00,2010-01-19 15:04:00,1,4.39,-73.942913,40.790012,1,,-73.984178,40.762895,Cre,15.7,0.0,0.5,3.14,0.0,19.34
DDS,2010-01-26 16:55:00,2010-01-26 17:05:18,1,1.8,-73.945813,40.711455,1,,-73.939267,40.707722,CAS,7.7,1.0,0.5,0.0,0.0,9.2
DDS,2010-01-29 08:44:40,2010-01-29 08:56:22,1,2.8,-73.990953,40.740462,1,,-73.97871,40.752755,CAS,9.3,0.0,0.5,0.0,0.0,9.8
VTS,2010-01-19 15:48:00,2010-01-19 15:49:00,1,0.0,-73.943813,40.784335,1,,-73.943815,40.784347,Cre,14.0,0.0,0.5,0.0,0.0,14.5
VTS,2010-01-19 19:40:00,2010-01-19 19:52:00,1,2.9,-73.98277199999998,40.756902,1,,-73.94874199999998,40.773655,CAS,9.3,1.0,0.5,0.0,0.0,10.8
VTS,2010-01-26 07:50:00,2010-01-26 08:03:00,2,1.85,-73.96680999999998,40.763347,1,,-73.968672,40.769238,CAS,8.9,0.0,0.5,0.0,0.0,9.4
DDS,2010-01-27 22:26:26,2010-01-27 22:30:34,1,0.6999999999999998,-73.991028,40.755217,1,,-74.000333,40.757673,CAS,4.5,0.5,0.5,0.0,0.0,5.5
CMT,2010-01-27 23:21:19,2010-01-27 23:25:17,1,1.2,-73.98721,40.73915,1,0,-73.995633,40.733486,Cas,4.9,0.5,0.5,0.0,0.0,5.9
VTS,2010-01-17 20:42:00,2010-01-17 20:51:00,2,1.8,-73.987232,40.750535,1,,-74.007593,40.7409,CAS,7.3,0.5,0.5,0.0,0.0,8.3
VTS,2010-01-06 14:42:00,2010-01-06 15:08:00,1,5.19,-73.989253,40.741758,1,,-73.99765499999998,40.678783,Cre,16.5,0.0,0.5,3.3,0.0,20.3
DDS,2010-01-18 11:29:16,2010-01-18 11:37:06,1,1.3,-73.99934,40.720287,1,,-73.955993,40.713695,CRE,5.3,0.0,0.5,1.0,0.0,6.8
VTS,2010-01-22 22:33:00,2010-01-22 22:39:00,1,1.42,-74.00878799999998,40.718803,1,,-74.000567,40.735645,CAS,5.7,0.5,0.5,0.0,0.0,6.7
VTS,2010-01-31 02:28:00,2010-01-31 02:44:00,5,4.62,-73.989998,40.725242,1,,-73.992513,40.666037,Cre,14.1,0.5,0.5,2.92,0.0,18.02
CMT,2010-01-04 19:00:08,2010-01-04 19:08:10,1,2.0,-73.97974499999998,40.751411,1,0,-73.959345,40.771446,Cas,6.9,1.0,0.5,0.0,0.0,8.4
