ID,Year,Olympic_CC,GDP,Population
20000,1990,AFG,,12249114
20001,1991,AFG,,12993657
20002,1992,AFG,,13981231
20003,1993,AFG,,15095099
20004,1994,AFG,,16172719
20005,1995,AFG,,17099541
20006,1996,AFG,,17822884
20007,1997,AFG,,18381605
20008,1998,AFG,,18863999
20009,1999,AFG,,19403676
20010,2000,AFG,,20093756
20011,2001,AFG,,20966463
20012,2002,AFG,875.52,21979923
20013,2003,AFG,922.83,23064851
20014,2004,AFG,916.33,24118979
20015,2005,AFG,1011.6,25070798
20016,2006,AFG,1065.62,25893450
20017,2007,AFG,1210.48,26616792
20018,2008,AFG,1247.07,27294031
20019,2009,AFG,1482.1,28004331
20020,2010,AFG,1581.6,28803167
20021,2011,AFG,1660.74,29708599
20022,2012,AFG,1873.15,30696958
20023,2013,AFG,1913.16,31731688
20024,2014,AFG,1937.24,32758020
20025,2015,AFG,1926.36,33736494
20026,2016,AFG,1944.12,34656032
20027,2017,AFG,1980.52,35530081
20028,1990,AHO,,145400
20029,1991,AHO,,144403
20030,1992,AHO,,143912
20031,1993,AHO,,144299
20032,1994,AHO,,144630
20033,1995,AHO,,145139
20034,1996,AHO,,146306
20035,1997,AHO,,146956
20036,1998,AHO,,144472
20037,1999,AHO,,139428
20038,2000,AHO,,133860
20039,2001,AHO,,129047
20040,2002,AHO,,129205
20041,2003,AHO,,131897
20042,2004,AHO,,134192
20043,2005,AHO,,137658
20044,2006,AHO,,141239
20045,2007,AHO,,144056
20046,2008,AHO,,145880
20047,2009,AHO,,146833
20048,2010,AHO,,148703
20049,2011,AHO,,150831
20050,2012,AHO,,152088
20051,2013,AHO,,153822
20052,2014,AHO,,155909
20053,2015,AHO,,157980
20054,2016,AHO,,159663
20055,2017,AHO,,161014
20056,1990,ALB,2722.28,3286542
20057,1991,ALB,1992.56,3266790
20058,1992,ALB,1902.75,3247039
20059,1993,ALB,2148.1,3227287
20060,1994,ALB,2390.53,3207536
20061,1995,ALB,2782.09,3187784
20062,1996,ALB,3109.94,3168033
20063,1997,ALB,2838.04,3148281
20064,1998,ALB,3209.62,3128530
20065,1999,ALB,3690.68,3108778
20066,2000,ALB,4029.02,3089027
20067,2001,ALB,4457.11,3060173
20068,2002,ALB,4754.65,3051010
20069,2003,ALB,5114.72,3039616
20070,2004,ALB,5522.98,3026939
20071,2005,ALB,5942.88,3011487
20072,2006,ALB,6631.84,2992547
20073,2007,ALB,7291.24,2970017
20074,2008,ALB,8228.34,2947314
20075,2009,ALB,8813.25,2927519
20076,2010,ALB,9637.35,2913021
20077,2011,ALB,10207.76,2905195
20078,2012,ALB,10526.24,2900401
20079,2013,ALB,10570.95,2895092
20080,2014,ALB,11259.26,2889104
20081,2015,ALB,11334.22,2880703
20082,2016,ALB,11559.3,2876101
20083,2017,ALB,12020.69,2873457
20084,1990,ALG,6616.41,25912367
20085,1991,ALG,6591.3,26554329
20086,1992,ALG,6704.65,27181094
20087,1993,ALG,6573.67,27786259
20088,1994,ALG,6518.03,28362253
20089,1995,ALG,6777.3,28904298
20090,1996,ALG,7060.1,29411415
20091,1997,ALG,7144.43,29886839
20092,1998,ALG,7477.97,30335732
20093,1999,ALG,7725.88,30765613
20094,2000,ALG,8093.53,31183660
20095,2001,ALG,8416.75,31592153
20096,2002,ALG,8911.68,31995046
20097,2003,ALG,9621.16,32403514
20098,2004,ALG,10176.68,32831096
20099,2005,ALG,10971.85,33288437
20100,2006,ALG,11332.79,33777915
20101,2007,ALG,11843.72,34300076
20102,2008,ALG,12162.26,34860715
20103,2009,ALG,12242.18,35465760
20104,2010,ALG,12610.25,36117637
20105,2011,ALG,12990.35,36819558
20106,2012,ALG,13404.41,37565847
20107,2013,ALG,13715.74,38338562
20108,2014,ALG,14203.9,39113313
20109,2015,ALG,14614.97,39871528
20110,2016,ALG,15013.3,40606052
20111,2017,ALG,15275.37,41318142
20112,1990,AND,,54509
20113,1991,AND,,56671
20114,1992,AND,,58888
20115,1993,AND,,60971
20116,1994,AND,,62677
20117,1995,AND,,63850
20118,1996,AND,,64360
20119,1997,AND,,64327
20120,1998,AND,,64142
20121,1999,AND,,64370
20122,2000,AND,,65390
20123,2001,AND,,67341
20124,2002,AND,,70049
20125,2003,AND,,73182
20126,2004,AND,,76244
20127,2005,AND,,78867
20128,2006,AND,,80991
20129,2007,AND,,82683
20130,2008,AND,,83861
20131,2009,AND,,84462
20132,2010,AND,,84449
20133,2011,AND,,83751
20134,2012,AND,,82431
20135,2013,AND,,80788
20136,2014,AND,,79223
20137,2015,AND,,78014
20138,2016,AND,,77281
20139,2017,AND,,76965
20140,1990,ANG,2217.44,12171441
20141,1991,ANG,2243.55,12553446
20142,1992,ANG,2091.59,12968345
20143,1993,ANG,1574.91,13403734
20144,1994,ANG,1578.44,13841301
20145,1995,ANG,1797.52,14268994
20146,1996,ANG,2019.74,14682284
20147,1997,ANG,2144.35,15088981
20148,1998,ANG,2208.52,15504318
20149,1999,ANG,2227.24,15949766
20150,2000,ANG,2277.37,16440924
20151,2001,ANG,2349.73,16983266
20152,2002,ANG,2620.88,17572649
20153,2003,ANG,2698.04,18203369
20154,2004,ANG,2948.77,18865716
20155,2005,ANG,3550.72,19552542
20156,2006,ANG,4202.21,20262399
20157,2007,ANG,5128.35,20997687
20158,2008,ANG,5743.1,21759420
20159,2009,ANG,5718.69,22549547
20160,2010,ANG,5778.38,23369131
20161,2011,ANG,5911.25,24218565
20162,2012,ANG,6110.42,25096150
20163,2013,ANG,6403.77,25998340
20164,2014,ANG,6591.54,26920466
20165,2015,ANG,6631.62,27859305
20166,2016,ANG,6440.99,28813463
20167,2017,ANG,6388.96,29784193
20168,1990,ANT,10587.59,66696
20169,1991,ANT,11076.68,67307
20170,1992,ANT,11272.83,68427
20171,1993,ANT,11887.9,69938
20172,1994,ANT,12629.82,71719
20173,1995,ANT,12012.91,73619
20174,1996,ANT,12693.72,75628
20175,1997,ANT,13247.57,77739
20176,1998,ANT,13653.98,79851
20177,1999,ANT,14029.09,81831
20178,2000,ANT,14987.41,83584
20179,2001,ANT,14317.24,85057
20180,2002,ANT,14480.08,86266
20181,2003,ANT,15479.22,87293
20182,2004,ANT,16633.54,88257
20183,2005,ANT,18065.81,89253
20184,2006,ANT,20747.38,90301
20185,2007,ANT,22996.71,91381
20186,2008,ANT,23162.69,92478
20187,2009,ANT,20271.09,93581
20188,2010,ANT,18824.07,94661
20189,2011,ANT,18605.32,95719
20190,2012,ANT,19398.06,96777
20191,2013,ANT,19480.1,97824
20192,2014,ANT,20619.87,98875
20193,2015,ANT,21462.29,99923
20194,2016,ANT,22661.49,100963
20195,2017,ANT,23593.93,102012
20196,1990,ARG,6990.55,32729739
20197,1991,ARG,8024.59,33193918
20198,1992,ARG,9061.65,33655151
20199,1993,ARG,9693.97,34110917
20200,1994,ARG,10342.48,34558115
20201,1995,ARG,10129.78,34994814
20202,1996,ARG,10754.2,35419682
20203,1997,ARG,11688.75,35833969
20204,1998,ARG,12132.51,36241590
20205,1999,ARG,11769.15,36648068
20206,2000,ARG,11810.06,37057452
20207,2001,ARG,11419.06,37471509
20208,2002,ARG,10217.27,37889370
20209,2003,ARG,11217.57,38309379
20210,2004,ARG,12430.71,38728696
20211,2005,ARG,13817.71,39145488
20212,2006,ARG,15227.51,39558890
20213,2007,ARG,16865.54,39970224
20214,2008,ARG,17711.44,40382389
20215,2009,ARG,16618.12,40799407
20216,2010,ARG,18333.54,41223889
20217,2011,ARG,19629.35,41656879
20218,2012,ARG,19579.01,42096739
20219,2013,ARG,20161.5,42539925
20220,2014,ARG,19802.1,42981515
20221,2015,ARG,20356.92,43417765
20222,2016,ARG,20042.54,43847430
20223,2017,ARG,20786.68,44271041
20224,1990,ARM,2418.86,3538165
20225,1991,ARM,2227.67,3505251
20226,1992,ARM,1350.11,3442810
20227,1993,ARM,1290.47,3363098
20228,1994,ARM,1422.71,3283660
20229,1995,ARM,1584.6,3217342
20230,1996,ARM,1734.66,3168215
20231,1997,ARM,1843.38,3133086
20232,1998,ARM,2015.11,3108684
20233,1999,ARM,2126.92,3089017
20234,2000,ARM,2318.24,3069588
20235,2001,ARM,2613.78,3050655
20236,2002,ARM,3020.45,3033897
20237,2003,ARM,3531.97,3017806
20238,2004,ARM,4031.95,3000612
20239,2005,ARM,4769.49,2981259
20240,2006,ARM,5607.65,2958500
20241,2007,ARM,6605.22,2933056
20242,2008,ARM,7260.97,2908220
20243,2009,ARM,6323.58,2888584
20244,2010,ARM,6567.26,2877311
20245,2011,ARM,7022.1,2875581
20246,2012,ARM,7649.49,2881922
20247,2013,ARM,7997.39,2893509
20248,2014,ARM,8397.1,2906220
20249,2015,ARM,8727.56,2916950
20250,2016,ARM,8832.76,2924816
20251,2017,ARM,9647.49,2930450
20252,1990,ARU,,62149
20253,1991,ARU,,64622
20254,1992,ARU,,68235
20255,1993,ARU,,72504
20256,1994,ARU,,76700
20257,1995,ARU,,80324
20258,1996,ARU,,83200
20259,1997,ARU,,85451
20260,1998,ARU,,87277
20261,1999,ARU,,89005
20262,2000,ARU,,90853
20263,2001,ARU,,92898
20264,2002,ARU,,94992
20265,2003,ARU,,97017
20266,2004,ARU,,98737
20267,2005,ARU,,100031
20268,2006,ARU,,100832
20269,2007,ARU,,101220
20270,2008,ARU,,101353
20271,2009,ARU,,101453
20272,2010,ARU,,101669
20273,2011,ARU,35973.78,102053
20274,2012,ARU,,102577
20275,2013,ARU,,103187
20276,2014,ARU,,103795
20277,2015,ARU,,104341
20278,2016,ARU,,104822
20279,2017,ARU,,105264
20280,1990,ASA,,47038
20281,1991,ASA,,48375
20282,1992,ASA,,49593
20283,1993,ASA,,50720
20284,1994,ASA,,51803
20285,1995,ASA,,52868
20286,1996,ASA,,53929
20287,1997,ASA,,54941
20288,1998,ASA,,55901
20289,1999,ASA,,56770
20290,2000,ASA,,57521
20291,2001,ASA,,58175
20292,2002,ASA,,58731
20293,2003,ASA,,59117
20294,2004,ASA,,59264
20295,2005,ASA,,59118
20296,2006,ASA,,58650
20297,2007,ASA,,57903
20298,2008,ASA,,57030
20299,2009,ASA,,56227
20300,2010,ASA,,55637
20301,2011,ASA,,55320
20302,2012,ASA,,55230
20303,2013,ASA,,55307
20304,2014,ASA,,55437
20305,2015,ASA,,55537
20306,2016,ASA,,55599
20307,2017,ASA,,55641
20308,1990,AUS,17338.47,17065100
20309,1991,AUS,17788.91,17284000
20310,1992,AUS,18187.75,17495000
20311,1993,AUS,19121.1,17667000
20312,1994,AUS,20069.46,17855000
20313,1995,AUS,20890.17,18072000
20314,1996,AUS,21962.52,18311000
20315,1997,AUS,22924.13,18517000
20316,1998,AUS,24176.06,18711000
20317,1999,AUS,25250.51,18926000
20318,2000,AUS,26316.95,19153000
20319,2001,AUS,27348.15,19413000
20320,2002,AUS,28706.44,19651400
20321,2003,AUS,29678.49,19895400
20322,2004,AUS,31311.64,20127400
20323,2005,AUS,32539.08,20394800
20324,2006,AUS,34291.29,20697900
20325,2007,AUS,36512.5,20827600
20326,2008,AUS,37409.16,21249200
20327,2009,AUS,40234.42,21691700
20328,2010,AUS,39274.76,22031750
20329,2011,AUS,41894.17,22340024
20330,2012,AUS,42733.94,22742475
20331,2013,AUS,45794.4,23145901
20332,2014,AUS,46742.8,23504138
20333,2015,AUS,46220.25,23850784
20334,2016,AUS,46144.12,24210809
20335,2017,AUS,48460.05,24598933
20336,1990,AUT,19452.47,7677850
20337,1991,AUT,20585.15,7754891
20338,1992,AUT,21259.91,7840709
20339,1993,AUT,21700.71,7905633
20340,1994,AUT,22607.74,7936118
20341,1995,AUT,23658.77,7948278
20342,1996,AUT,24523.88,7959017
20343,1997,AUT,25412.37,7968041
20344,1998,AUT,26652.83,7976789
20345,1999,AUT,27606.48,7992324
20346,2000,AUT,29375.4,8011566
20347,2001,AUT,29739.94,8042293
20348,2002,AUT,31178.69,8081957
20349,2003,AUT,32106.47,8121423
20350,2004,AUT,33755.14,8171966
20351,2005,AUT,35013.71,8227829
20352,2006,AUT,37627.97,8268641
20353,2007,AUT,39385.74,8295487
20354,2008,AUT,41316.23,8321496
20355,2009,AUT,40919.15,8343323
20356,2010,AUT,42047.03,8363404
20357,2011,AUT,44452.73,8391643
20358,2012,AUT,46457.35,8429991
20359,2013,AUT,47922.05,8479823
20360,2014,AUT,48787.49,8546356
20361,2015,AUT,49883.04,8642699
20362,2016,AUT,50521.48,8736668
20363,2017,AUT,52397.75,8809212
20364,1990,AZE,5502.43,7159000
20365,1991,AZE,5558.82,7271000
20366,1992,AZE,4334.43,7382000
20367,1993,AZE,3361.04,7495000
20368,1994,AZE,2719.34,7597000
20369,1995,AZE,2420.44,7685000
20370,1996,AZE,2471.59,7763000
20371,1997,AZE,2634.16,7838250
20372,1998,AZE,2901.35,7913000
20373,1999,AZE,3136.09,7982750
20374,2000,AZE,3534.33,8048600
20375,2001,AZE,3942.08,8111200
20376,2002,AZE,4393.97,8171950
20377,2003,AZE,4945.91,8234100
20378,2004,AZE,5551.45,8306500
20379,2005,AZE,7169.15,8391850
20380,2006,AZE,9830.16,8484550
20381,2007,AZE,12477.38,8581300
20382,2008,AZE,13799.79,8763400
20383,2009,AZE,14900.51,8947243
20384,2010,AZE,15627.61,9054332
20385,2011,AZE,15754.15,9173082
20386,2012,AZE,16180.89,9295784
20387,2013,AZE,17171.76,9416801
20388,2014,AZE,17608.37,9535079
20389,2015,AZE,17782.03,9649341
20390,2016,AZE,17256.63,9757812
20391,2017,AZE,17398.16,9862429
20392,1990,BAH,20031.13,256336
20393,1991,BAH,19469.28,261116
20394,1992,BAH,18790.2,266134
20395,1993,BAH,18938.47,271165
20396,1994,BAH,19608.52,275895
20397,1995,BAH,20576.66,280150
20398,1996,BAH,21557.13,283790
20399,1997,BAH,22130.27,286970
20400,1998,BAH,23175.98,290060
20401,1999,BAH,24910.1,293572
20402,2000,BAH,26149.42,297890
20403,2001,BAH,26972.67,303135
20404,2002,BAH,27579.54,309157
20405,2003,BAH,27194.15,315746
20406,2004,BAH,27596.03,322526
20407,2005,BAH,28849.73,329249
20408,2006,BAH,29887.1,335830
20409,2007,BAH,30535.5,342328
20410,2008,BAH,29857.27,348676
20411,2009,BAH,28325.88,354856
20412,2010,BAH,28630.87,360832
20413,2011,BAH,28941.03,366568
20414,2012,BAH,29937.1,372039
20415,2013,BAH,29878.05,377240
20416,2014,BAH,29977.57,382169
20417,2015,BAH,30249.74,386838
20418,2016,BAH,29779.8,391232
20419,2017,BAH,30430.17,395361
20420,1990,BAN,832.43,106188642
20421,1991,BAN,869.34,108727432
20422,1992,BAN,916.52,111221938
20423,1993,BAN,961.16,113695139
20424,1994,BAN,997.97,116182267
20425,1995,BAN,1048.18,118706871
20426,1996,BAN,1092.02,121269645
20427,1997,BAN,1136.35,123854640
20428,1998,BAN,1183.38,126447965
20429,1999,BAN,1232.43,129029691
20430,2000,BAN,1301.46,131581243
20431,2001,BAN,1372.36,134107160
20432,2002,BAN,1420.43,136600667
20433,2003,BAN,1491.02,139019001
20434,2004,BAN,1586.18,141307489
20435,2005,BAN,1718.4,143431101
20436,2006,BAN,1864.19,145368004
20437,2007,BAN,2024.23,147139191
20438,2008,BAN,2163.55,148805814
20439,2009,BAN,2264.87,150454708
20440,2010,BAN,2393.32,152149102
20441,2011,BAN,2570.85,153911916
20442,2012,BAN,2756.44,155727053
20443,2013,BAN,2934.64,157571292
20444,2014,BAN,3131.92,159405279
20445,2015,BAN,3335.76,161200886
20446,2016,BAN,3579.76,162951560
20447,2017,BAN,3868.82,164669751
20448,1990,BAR,9329.38,260374
20449,1991,BAR,9232.01,261275
20450,1992,BAR,8751.04,262184
20451,1993,BAR,9035.57,263089
20452,1994,BAR,9544.93,264015
20453,1995,BAR,9903.47,264959
20454,1996,BAR,10448.87,265942
20455,1997,BAR,11085.4,266945
20456,1998,BAR,11576.73,267950
20457,1999,BAR,11758.25,268922
20458,2000,BAR,12260.24,269847
20459,2001,BAR,12200.79,270685
20460,2002,BAR,12450.72,271478
20461,2003,BAR,12941.19,272258
20462,2004,BAR,13442.07,273091
20463,2005,BAR,14381.23,274009
20464,2006,BAR,15609.29,275039
20465,2007,BAR,16247.52,276150
20466,2008,BAR,16512.9,277319
20467,2009,BAR,15906.75,278470
20468,2010,BAR,16085.85,279569
20469,2011,BAR,16472.08,280601
20470,2012,BAR,16767.04,281585
20471,2013,BAR,16982.1,282509
20472,2014,BAR,17233.44,283385
20473,2015,BAR,17525.65,284217
20474,2016,BAR,18054.74,284996
20475,2017,BAR,18639.45,285719
20476,1990,BDI,702.88,5415415
20477,1991,BDI,745.14,5542048
20478,1992,BDI,753.63,5661139
20479,1993,BDI,709.6,5771398
20480,1994,BDI,685.05,5871607
20481,1995,BDI,634.18,5962058
20482,1996,BDI,586.32,6041112
20483,1997,BDI,580.06,6112097
20484,1998,BDI,606.83,6186352
20485,1999,BDI,600.9,6278940
20486,2000,BDI,597.72,6400706
20487,2001,BDI,609.14,6555829
20488,2002,BDI,628.2,6741569
20489,2003,BDI,613.63,6953113
20490,2004,BDI,639.87,7182451
20491,2005,BDI,644.79,7423289
20492,2006,BDI,677.38,7675338
20493,2007,BDI,704.44,7939573
20494,2008,BDI,729.46,8212264
20495,2009,BDI,735.7,8489031
20496,2010,BDI,748.38,8766930
20497,2011,BDI,771.51,9043508
20498,2012,BDI,793.08,9319710
20499,2013,BDI,818.29,9600186
20500,2014,BDI,846.09,9891790
20501,2015,BDI,796.96,10199270
20502,2016,BDI,777.75,10524117
20503,2017,BDI,770.94,10864245
20504,1990,BEL,18768.81,9967379
20505,1991,BEL,19675.76,10004486
20506,1992,BEL,20349.59,10045158
20507,1993,BEL,20552.93,10084475
20508,1994,BEL,21601,10115603
20509,1995,BEL,22530.16,10136811
20510,1996,BEL,22886.13,10156637
20511,1997,BEL,23916.5,10181245
20512,1998,BEL,24543.93,10203008
20513,1999,BEL,25642.26,10226419
20514,2000,BEL,27984,10251250
20515,2001,BEL,28982.6,10286570
20516,2002,BEL,30482.78,10332785
20517,2003,BEL,31054.31,10376133
20518,2004,BEL,32249.5,10421137
20519,2005,BEL,33332.33,10478617
20520,2006,BEL,35390.85,10547958
20521,2007,BEL,36866.27,10625700
20522,2008,BEL,38133.5,10709973
20523,2009,BEL,38001.99,10796493
20524,2010,BEL,40091.01,10895586
20525,2011,BEL,41248.73,11047744
20526,2012,BEL,42354.63,11128246
20527,2013,BEL,43519.78,11182817
20528,2014,BEL,44601.37,11209057
20529,2015,BEL,45414.89,11274196
20530,2016,BEL,46416.85,11331422
20531,2017,BEL,47840.2,11372068
20532,1990,BEN,945.38,4978496
20533,1991,BEN,984.31,5149499
20534,1992,BEN,1001.09,5331803
20535,1993,BEN,1047.4,5521763
20536,1994,BEN,1054.55,5714220
20537,1995,BEN,1104.64,5905558
20538,1996,BEN,1137.11,6094259
20539,1997,BEN,1186.42,6281639
20540,1998,BEN,1210.45,6470265
20541,1999,BEN,1256.96,6664098
20542,2000,BEN,1320.89,6865951
20543,2001,BEN,1380.62,7076733
20544,2002,BEN,1422.95,7295394
20545,2003,BEN,1456.36,7520555
20546,2004,BEN,1516.43,7750004
20547,2005,BEN,1545.7,7982225
20548,2006,BEN,1608.77,8216896
20549,2007,BEN,1701.21,8454791
20550,2008,BEN,1768.74,8696916
20551,2009,BEN,1773.17,8944706
20552,2010,BEN,1781.99,9199259
20553,2011,BEN,1820.89,9460802
20554,2012,BEN,1890.14,9729160
20555,2013,BEN,2002.11,10004451
20556,2014,BEN,2108.02,10286712
20557,2015,BEN,2116.04,10575952
20558,2016,BEN,2167.27,10872298
20559,2017,BEN,2266.23,11175692
20560,1990,BER,26210.91,59326
20561,1991,BER,26261.13,59021
20562,1992,BER,27038.88,58595
20563,1993,BER,28362.57,58910
20564,1994,BER,28938.44,59320
20565,1995,BER,30621.69,59746
20566,1996,BER,31787.78,60129
20567,1997,BER,33613.37,60497
20568,1998,BER,35044.95,60943
20569,1999,BER,36579.56,61285
20570,2000,BER,40535.21,61833
20571,2001,BER,43976.09,62504
20572,2002,BER,43706.03,62912
20573,2003,BER,45797.32,63325
20574,2004,BER,47835.44,63740
20575,2005,BER,49877.28,64154
20576,2006,BER,53949.42,64523
20577,2007,BER,56640.99,64888
20578,2008,BER,58288.61,65273
20579,2009,BER,55320.16,65636
20580,2010,BER,55254.21,65124
20581,2011,BER,54984.51,64564
20582,2012,BER,53097.7,64798
20583,2013,BER,52436.06,65001
20584,2014,BER,,65139
20585,2015,BER,,65239
20586,2016,BER,,65341
20587,2017,BER,,65441
20588,1990,BHU,1502.88,537280
20589,1991,BHU,1546.56,537284
20590,1992,BHU,1672.52,531525
20591,1993,BHU,1774.39,523117
20592,1994,BHU,1926.24,516503
20593,1995,BHU,2112.17,514877
20594,1996,BHU,2251.16,519282
20595,1997,BHU,2369.51,528754
20596,1998,BHU,2474.17,542155
20597,1999,BHU,2637.73,557543
20598,2000,BHU,2804.93,573416
20599,2001,BHU,3019,589600
20600,2002,BHU,3300.16,606399
20601,2003,BHU,3524.93,623434
20602,2004,BHU,3734.49,640282
20603,2005,BHU,4026.34,656639
20604,2006,BHU,4331.46,672228
20605,2007,BHU,5131.41,686958
20606,2008,BHU,5372.13,700950
20607,2009,BHU,5664.13,714458
20608,2010,BHU,6289.81,727641
20609,2011,BHU,6805.88,740510
20610,2012,BHU,7162.29,752967
20611,2013,BHU,7317.34,764961
20612,2014,BHU,7760.09,776448
20613,2015,BHU,8245.61,787386
20614,2016,BHU,8900.76,797765
20615,2017,BHU,9560.77,807610
20616,1990,BIH,,4463422
20617,1991,BIH,,4371603
20618,1992,BIH,,4239154
20619,1993,BIH,,4087999
20620,1994,BIH,949.28,3948816
20621,1995,BIH,1202.66,3843712
20622,1996,BIH,2352.77,3780378
20623,1997,BIH,3239.95,3752431
20624,1998,BIH,3787.99,3750485
20625,1999,BIH,4205.49,3759118
20626,2000,BIH,4528.61,3766706
20627,2001,BIH,4735.17,3771284
20628,2002,BIH,5114.27,3775807
20629,2003,BIH,5348.59,3779247
20630,2004,BIH,5840.65,3781287
20631,2005,BIH,6453.19,3781530
20632,2006,BIH,7380.88,3779468
20633,2007,BIH,8161.69,3774000
20634,2008,BIH,9006.45,3763599
20635,2009,BIH,9003.27,3746561
20636,2010,BIH,9314.89,3722084
20637,2011,BIH,9901.61,3688865
20638,2012,BIH,10181.91,3648200
20639,2013,BIH,10825.84,3604999
20640,2014,BIH,11164.21,3566002
20641,2015,BIH,11526.42,3535961
20642,2016,BIH,12172.65,3516816
20643,2017,BIH,12875.97,3507017
20644,1990,BIZ,3338.87,187552
20645,1991,BIZ,3740.87,191126
20646,1992,BIZ,4216.25,194317
20647,1993,BIZ,4510.92,197616
20648,1994,BIZ,4521.35,201674
20649,1995,BIZ,4526.66,206963
20650,1996,BIZ,4528.27,213676
20651,1997,BIZ,4598.4,221606
20652,1998,BIZ,4640.48,230284
20653,1999,BIZ,4937.73,239026
20654,2000,BIZ,5517.23,247315
20655,2001,BIZ,5747.76,254984
20656,2002,BIZ,5965.75,262206
20657,2003,BIZ,6481.06,269130
20658,2004,BIZ,6793.3,276089
20659,2005,BIZ,7010.19,283277
20660,2006,BIZ,7362.53,290747
20661,2007,BIZ,7445.77,298407
20662,2008,BIZ,7638.35,306165
20663,2009,BIZ,7559.54,313929
20664,2010,BIZ,7717.47,321608
20665,2011,BIZ,7857.25,329192
20666,2012,BIZ,8120.92,336701
20667,2013,BIZ,8130.32,344181
20668,2014,BIZ,8427.08,351694
20669,2015,BIZ,8654.86,359288
20670,2016,BIZ,8540.4,366954
20671,2017,BIZ,8590.01,374681
20672,1990,BLR,5399.41,10189000
20673,1991,BLR,5509.47,10194000
20674,1992,BLR,5083.13,10216000
20675,1993,BLR,4797.76,10239000
20676,1994,BLR,4331.65,10227000
20677,1995,BLR,3974.94,10194000
20678,1996,BLR,4174.75,10160000
20679,1997,BLR,4750.38,10117000
20680,1998,BLR,5230.11,10069000
20681,1999,BLR,5513.83,10026738
20682,2000,BLR,5994.56,9979610
20683,2001,BLR,6453.91,9928549
20684,2002,BLR,6927.55,9865548
20685,2003,BLR,7616.46,9796749
20686,2004,BLR,8781.64,9730146
20687,2005,BLR,9984.19,9663915
20688,2006,BLR,11389.55,9604924
20689,2007,BLR,12756.63,9560953
20690,2008,BLR,14383.17,9527985
20691,2009,BLR,14553.8,9506765
20692,2010,BLR,15906.76,9490583
20693,2011,BLR,17166.7,9473172
20694,2012,BLR,17801.92,9464495
20695,2013,BLR,18271.75,9465997
20696,2014,BLR,18903.16,9474511
20697,2015,BLR,18347.14,9489616
20698,2016,BLR,18089.05,9501534
20699,2017,BLR,18847.93,9507875
20700,1990,BOL,2396.11,6856244
20701,1991,BOL,2555.47,6992521
20702,1992,BOL,2604.91,7131707
20703,1993,BOL,2726.41,7273825
20704,1994,BOL,2857.41,7418861
20705,1995,BOL,2993.81,7566714
20706,1996,BOL,3119.28,7717443
20707,1997,BOL,3264.95,7870855
20708,1998,BOL,3399.25,8026254
20709,1999,BOL,3399.73,8182712
20710,2000,BOL,3497.28,8339512
20711,2001,BOL,3570.06,8496375
20712,2002,BOL,3647.57,8653345
20713,2003,BOL,3753.05,8810420
20714,2004,BOL,3946.71,8967741
20715,2005,BOL,4180.32,9125409
20716,2006,BOL,4438.62,9283334
20717,2007,BOL,4684.95,9441444
20718,2008,BOL,4986.88,9599855
20719,2009,BOL,5108.87,9758748
20720,2010,BOL,5298.08,9918242
20721,2011,BOL,5598.51,10078343
20722,2012,BOL,5899.64,10239004
20723,2013,BOL,6303.07,10400264
20724,2014,BOL,6662.83,10562159
20725,2015,BOL,6955.18,10724705
20726,2016,BOL,7234.2,10887882
20727,2017,BOL,7559.64,11051600
20728,1990,BOT,5242.05,1377912
20729,1991,BOT,5661.05,1416731
20730,1992,BOT,5798.94,1455833
20731,1993,BOT,5893.36,1494693
20732,1994,BOT,6082.78,1532622
20733,1995,BOT,6491.73,1569094
20734,1996,BOT,6843.11,1604060
20735,1997,BOT,7364.74,1637635
20736,1998,BOT,7354.75,1669625
20737,1999,BOT,8043.51,1699862
20738,2000,BOT,8251.82,1728340
20739,2001,BOT,8332.8,1754935
20740,2002,BOT,8848.1,1779953
20741,2003,BOT,9314.4,1804339
20742,2004,BOT,9695.19,1829330
20743,2005,BOT,10313.61,1855852
20744,2006,BOT,11346.05,1884238
20745,2007,BOT,12413.29,1914414
20746,2008,BOT,13226.61,1946351
20747,2009,BOT,12098.79,1979882
20748,2010,BOT,13064.47,2014866
20749,2011,BOT,13889.27,2051339
20750,2012,BOT,14506.89,2089315
20751,2013,BOT,16111.11,2128507
20752,2014,BOT,16765.16,2168573
20753,2015,BOT,16352.88,2209197
20754,2016,BOT,16960.96,2250260
20755,2017,BOT,17354.2,2291661
20756,1990,BRA,6686.23,149352145
20757,1991,BRA,6892.13,151976577
20758,1992,BRA,6898.86,154564278
20759,1993,BRA,7271.66,157132682
20760,1994,BRA,7696.58,159705123
20761,1995,BRA,8073.13,162296612
20762,1996,BRA,8268.67,164913306
20763,1997,BRA,8559.12,167545164
20764,1998,BRA,8547.34,170170640
20765,1999,BRA,8588.21,172759243
20766,2000,BRA,9012.96,175287587
20767,2001,BRA,9216.32,177750670
20768,2002,BRA,9515.1,180151021
20769,2003,BRA,9690.07,182482149
20770,2004,BRA,10401.84,184738458
20771,2005,BRA,10950.57,186917361
20772,2006,BRA,11603.6,189012412
20773,2007,BRA,12501.13,191026637
20774,2008,BRA,13259.73,192979029
20775,2009,BRA,13212.38,194895996
20776,2010,BRA,14243.49,196796269
20777,2011,BRA,14973.1,198686688
20778,2012,BRA,15398.43,200560983
20779,2013,BRA,15971.01,202408632
20780,2014,BRA,16195.87,204213133
